model,cv,rpm_cv,kgfm,rpm_kgfm,weight
YZF R1 - 2016,200,13.5,11.4,11.5,179
GSX 1300 B-King - 2010,184,9.5,14.89,7.2,255
Z 1000 - 2018,142,10,11.3,7.3,200
CB 1000R - 2019,141.4,10.5,10.2,8,199
MT 09 - 2019,115,10,8.9,8.5,171
F 800 GS - 2018,85,7.5,8.5,5.75,177.8
Fat Boy - 2018,85,5,14.98,3,313
F 700 GS - 2015,75,7,7.85,5.5,186
GSR 750 - 2019,114,10.5,8.26,9,187
Tiger 800 XR - 2019,95,9.25,8.05,7.85,199
Night Rod - 2016,125,8.5,12.4,7.5,289
CBR 600 RR - 2014,120,13.5,6.73,11.25,169
MT 07 - 2019,74.8,9,6.9,6.5,168
XT 660 - 2012,48,6,5.95,5.25,165
YZF R6 - 2017,118,14.5,6.3,10.5,166
XT 660 Z Teneré - 2012,48,6,5.95,5.5,175
CB 600F Hornet - 2014,102,12,6.53,10.5,177
G 650 GS - 2016,50,6.5,6.1,5,175
Versys 650 – 2017,69,8,6.5,7,188
SV 650 A Gladius - 2017,76,8.5,6.5,6.4,202
NC 750X - 2019,54.5,6.25,6.94,4.75,210
NC 700X - 2014,52.5,6.25,6.4,4.75,202
XT 600E - 2004,45,6.5,5.1,5.5,165.5
CB 650F - 2019,88.5,11,6.22,8,195
V Strom 650 XT - 2019,71,8.8,6.32,6.5,202
V Strom 650 - 2010,67,8.8,6.12,6.4,194
Sportster Iron 883,50,5.75,6.7,4.5,247
CB 500x - 2014,50.4,8.5,4.55,7,181
NX Falcon 400i - 2014,28.7,6.5,3.27,6,158
MT 03 - 2019,42,10.75,3.01,9,144
XRE 300 - 2019,25.6,7.5,2.8,6,148
Tornado 250 - 2007,23.3,7.5,2.42,6,134
G 310 GS - 2018,34,9.2,2.85,7.5,158.5
Himalayan - 2019,24.8,6.5,3.26,4.5,182
CB Twister ABS - 2019,22.4,7.5,2.24,6,137
Z 300 - 2019,39,11,2.8,10,158
TDM 225 - 2005,19,8,1.8,7,116
XTZ 250 Lander - 2018,20.9,8,2.1,6.5,130
XTZ 250 Teneré - 2018,20.9,8,2.09,8,133
CG 160 Fan - 2019,15.1,8,1.54,6,116
NMAX 160 - 2019,15.1,8,1.5,6,120
Inazuma 250 - 2014,24.5,8.5,2.3,6.5,182
XRE 190 - 2019,16.3,8.5,1.66,6,127
Factor 150 UBS - 2019,12.4,7.5,1.3,5.5,111
Bros 160 ESDD - 2019,14.5,8.5,1.6,5.5,121
CG 150 Fan ESDi - 2013,14.3,8.5,1.45,6.5,118.2
Factor 125i UBS - 2019,11.1,7.5,1.16,6,107.5
Biz 125 - 2019,9.2,7.5,1.04,3.5,100
CG 125i Fan,11.8,8.5,1.06,5,107
Pop 100 - 2018,7.9,7.25,0.9,5,85
Crosser 150 S ABS - 2019,12.2,7.5,1.3,6,124
PCX 150 - 2019,13.2,8.5,1.38,5,126
XTZ 125 - 2013,10,7.5,1,6,104
Intruder 125 - 2007,12.5,8.5,1.19,8,113
Biz 110i - 2018,8.3,7.25,0.89,5.5,97
aaa,111.0,222.0,333.0,444.0,555.0
bbb,123.0,456.0,123.0,456.0,123.0
ccc,222.0,333.0,444.0,222.0,333.0
